timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662508663089,3563,HTTP Request,200,OK,300T voteCandidate 1-22,text,true,,1903,213,231,231,http://localhost:9999/getCandidates,3563,0,2038
1662508663106,3559,HTTP Request,200,OK,300T voteCandidate 1-23,text,true,,1903,213,231,231,http://localhost:9999/getCandidates,3559,0,2036
1662508663141,3565,HTTP Request,200,OK,300T voteCandidate 1-25,text,true,,1903,213,232,232,http://localhost:9999/getCandidates,3565,0,2033
1662508663123,3584,HTTP Request,200,OK,300T voteCandidate 1-24,text,true,,1903,213,231,231,http://localhost:9999/getCandidates,3584,0,2051
1662508663175,3554,HTTP Request,200,OK,300T voteCandidate 1-27,text,true,,1903,213,232,232,http://localhost:9999/getCandidates,3553,0,2029
1662508663158,3574,HTTP Request,200,OK,300T voteCandidate 1-26,text,true,,1903,213,231,231,http://localhost:9999/getCandidates,3574,0,2047
1662508663191,3549,HTTP Request,200,OK,300T voteCandidate 1-28,text,true,,1903,213,230,230,http://localhost:9999/getCandidates,3549,0,2029
1662508663208,3567,HTTP Request,200,OK,300T voteCandidate 1-29,text,true,,1903,213,231,231,http://localhost:9999/getCandidates,3567,0,2043
1662508662734,4042,HTTP Request,200,OK,300T voteCandidate 1-1,text,true,,1903,213,230,230,http://localhost:9999/getCandidates,4042,0,2020
1662508663243,3543,HTTP Request,200,OK,300T voteCandidate 1-31,text,true,,1903,213,230,230,http://localhost:9999/getCandidates,3543,0,2023
1662508662752,4038,HTTP Request,200,OK,300T voteCandidate 1-2,text,true,,1903,213,229,229,http://localhost:9999/getCandidates,4038,0,2018
1662508663225,3574,HTTP Request,200,OK,300T voteCandidate 1-30,text,true,,1903,213,229,229,http://localhost:9999/getCandidates,3574,0,2041
1662508663260,3547,HTTP Request,200,OK,300T voteCandidate 1-32,text,true,,1903,213,228,228,http://localhost:9999/getCandidates,3547,0,2022
1662508662768,4039,HTTP Request,200,OK,300T voteCandidate 1-3,text,true,,1903,213,227,227,http://localhost:9999/getCandidates,4039,0,2017
1662508663276,3545,HTTP Request,200,OK,300T voteCandidate 1-33,text,true,,1903,213,227,227,http://localhost:9999/getCandidates,3545,0,2022
1662508662783,4041,HTTP Request,200,OK,300T voteCandidate 1-4,text,true,,1903,213,226,226,http://localhost:9999/getCandidates,4041,0,2021
1662508663293,3543,HTTP Request,200,OK,300T voteCandidate 1-34,text,true,,1903,213,226,226,http://localhost:9999/getCandidates,3543,0,2021
1662508662800,4062,HTTP Request,200,OK,300T voteCandidate 1-5,text,true,,1903,213,226,226,http://localhost:9999/getCandidates,4062,0,2032
1662508662817,4048,HTTP Request,200,OK,300T voteCandidate 1-6,text,true,,1903,213,226,226,http://localhost:9999/getCandidates,4048,0,2029
1662508662834,4055,HTTP Request,200,OK,300T voteCandidate 1-7,text,true,,1903,213,226,226,http://localhost:9999/getCandidates,4055,0,2028
1662508662851,4047,HTTP Request,200,OK,300T voteCandidate 1-8,text,true,,1903,213,226,226,http://localhost:9999/getCandidates,4047,0,2026
1662508662869,4065,HTTP Request,200,OK,300T voteCandidate 1-9,text,true,,1903,213,227,227,http://localhost:9999/getCandidates,4065,0,2040
1662508662886,4063,HTTP Request,200,OK,300T voteCandidate 1-10,text,true,,1903,213,227,227,http://localhost:9999/getCandidates,4063,0,2039
1662508663005,4055,HTTP Request,200,OK,300T voteCandidate 1-17,text,true,,1903,213,232,232,http://localhost:9999/getCandidates,4055,0,2029
