timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664865556326,2037,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:9999 failed to respond,100T getCandidates 1-510,text,false,,2080,0,917,917,http://localhost:9999/getCandidates,0,0,2035
1664865553792,7097,HTTP Request,200,OK,100T getCandidates 1-3,text,true,,2653,211,999,999,http://localhost:9999/getCandidates,7097,0,2051
1664865553790,7100,HTTP Request,200,OK,100T getCandidates 1-1,text,true,,2653,211,998,998,http://localhost:9999/getCandidates,7099,0,2053
1664865553795,7099,HTTP Request,200,OK,100T getCandidates 1-2,text,true,,2653,211,998,998,http://localhost:9999/getCandidates,7099,0,2048
1664865553797,7107,HTTP Request,200,OK,100T getCandidates 1-4,text,true,,2653,211,996,996,http://localhost:9999/getCandidates,7107,0,2046
1664865554271,7027,HTTP Request,200,OK,100T getCandidates 1-99,text,true,,2653,211,995,995,http://localhost:9999/getCandidates,7027,0,2043
1664865554251,7050,HTTP Request,200,OK,100T getCandidates 1-95,text,true,,2653,211,994,994,http://localhost:9999/getCandidates,7050,0,2033
1664865554276,7025,HTTP Request,200,OK,100T getCandidates 1-100,text,true,,2653,211,993,993,http://localhost:9999/getCandidates,7025,0,2038
1664865554256,7046,HTTP Request,200,OK,100T getCandidates 1-96,text,true,,2653,211,992,992,http://localhost:9999/getCandidates,7046,0,2043
1664865554286,7017,HTTP Request,200,OK,100T getCandidates 1-102,text,true,,2653,211,991,991,http://localhost:9999/getCandidates,7017,0,2045
1664865554281,7022,HTTP Request,200,OK,100T getCandidates 1-101,text,true,,2653,211,990,990,http://localhost:9999/getCandidates,7022,0,2033
1664865554262,7042,HTTP Request,200,OK,100T getCandidates 1-97,text,true,,2653,211,989,989,http://localhost:9999/getCandidates,7042,0,2037
1664865554301,7004,HTTP Request,200,OK,100T getCandidates 1-105,text,true,,2653,211,988,988,http://localhost:9999/getCandidates,7004,0,2030
1664865554267,7039,HTTP Request,200,OK,100T getCandidates 1-98,text,true,,2653,211,987,987,http://localhost:9999/getCandidates,7039,0,2032
1664865554093,7228,HTTP Request,200,OK,100T getCandidates 1-63,text,true,,2653,211,986,986,http://localhost:9999/getCandidates,7228,0,2033
1664865554146,7179,HTTP Request,200,OK,100T getCandidates 1-74,text,true,,2653,211,985,985,http://localhost:9999/getCandidates,7179,0,2044
