timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666141124370,2155,HTTP Request,200,OK,500T getCandidates 1-3,text,true,,8154,216,218,218,http://localhost:9999/getCandidatesMap,2155,0,2024
1666141124367,2160,HTTP Request,200,OK,500T getCandidates 1-2,text,true,,8154,216,218,218,http://localhost:9999/getCandidatesMap,2160,0,2027
1666141124365,2167,HTTP Request,200,OK,500T getCandidates 1-1,text,true,,8154,216,218,218,http://localhost:9999/getCandidatesMap,2167,0,2029
1666141124379,2178,HTTP Request,200,OK,500T getCandidates 1-4,text,true,,8154,216,218,218,http://localhost:9999/getCandidatesMap,2178,0,2031
1666141124389,2245,HTTP Request,200,OK,500T getCandidates 1-5,text,true,,8154,216,225,225,http://localhost:9999/getCandidatesMap,2245,0,2036
1666141124398,2241,HTTP Request,200,OK,500T getCandidates 1-6,text,true,,8154,216,225,225,http://localhost:9999/getCandidatesMap,2241,0,2027
1666141124408,2235,HTTP Request,200,OK,500T getCandidates 1-7,text,true,,8154,216,224,224,http://localhost:9999/getCandidatesMap,2234,0,2033
1666141124429,2236,HTTP Request,200,OK,500T getCandidates 1-9,text,true,,8154,216,225,225,http://localhost:9999/getCandidatesMap,2236,0,2027
1666141124418,2328,HTTP Request,200,OK,500T getCandidates 1-8,text,true,,8154,216,232,232,http://localhost:9999/getCandidatesMap,2328,0,2038
1666141124462,2290,HTTP Request,200,OK,500T getCandidates 1-12,text,true,,8154,216,232,232,http://localhost:9999/getCandidatesMap,2290,0,2026
1666141124440,2315,HTTP Request,200,OK,500T getCandidates 1-10,text,true,,8154,216,231,231,http://localhost:9999/getCandidatesMap,2315,0,2035
1666141124462,2313,HTTP Request,200,OK,500T getCandidates 1-11,text,true,,8154,216,232,232,http://localhost:9999/getCandidatesMap,2313,0,2026
1666141124479,2376,HTTP Request,200,OK,500T getCandidates 1-14,text,true,,8154,216,239,239,http://localhost:9999/getCandidatesMap,2376,0,2029
