timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666140521579,2149,HTTP Request,200,OK,500T getCandidates 1-1,text,true,,8154,216,109,109,http://localhost:9999/getCandidatesMap,2149,0,2037
1666140521595,2154,HTTP Request,200,OK,500T getCandidates 1-2,text,true,,8154,216,109,109,http://localhost:9999/getCandidatesMap,2154,0,2036
1666140521612,2162,HTTP Request,200,OK,500T getCandidates 1-3,text,true,,8154,216,109,109,http://localhost:9999/getCandidatesMap,2162,0,2049
1666140521627,2162,HTTP Request,200,OK,500T getCandidates 1-4,text,true,,8154,216,109,109,http://localhost:9999/getCandidatesMap,2162,0,2050
1666140521660,2169,HTTP Request,200,OK,500T getCandidates 1-5,text,true,,8154,216,110,110,http://localhost:9999/getCandidatesMap,2169,0,2049
1666140521676,2178,HTTP Request,200,OK,500T getCandidates 1-6,text,true,,8154,216,110,110,http://localhost:9999/getCandidatesMap,2178,0,2052
1666140521691,2186,HTTP Request,200,OK,500T getCandidates 1-7,text,true,,8154,216,110,110,http://localhost:9999/getCandidatesMap,2186,0,2037
1666140521707,2190,HTTP Request,200,OK,500T getCandidates 1-8,text,true,,8154,216,110,110,http://localhost:9999/getCandidatesMap,2189,0,2036
1666140521756,2182,HTTP Request,200,OK,500T getCandidates 1-9,text,true,,8154,216,111,111,http://localhost:9999/getCandidatesMap,2182,0,2049
1666140521765,2201,HTTP Request,200,OK,500T getCandidates 1-11,text,true,,8154,216,112,112,http://localhost:9999/getCandidatesMap,2201,0,2054
1666140521784,2204,HTTP Request,200,OK,500T getCandidates 1-12,text,true,,8154,216,112,112,http://localhost:9999/getCandidatesMap,2204,0,2035
1666140521771,2244,HTTP Request,200,OK,500T getCandidates 1-10,text,true,,8154,216,112,112,http://localhost:9999/getCandidatesMap,2244,0,2048
1666140521804,2237,HTTP Request,200,OK,500T getCandidates 1-13,text,true,,8154,216,112,112,http://localhost:9999/getCandidatesMap,2237,0,2031
