timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666143204564,2121,HTTP Request,200,OK,500T getCandidates 1-1,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2121,0,2036
1666143204579,2127,HTTP Request,200,OK,500T getCandidates 1-2,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2127,0,2035
1666143204594,2114,HTTP Request,200,OK,500T getCandidates 1-3,text,true,,12111,225,106,106,http://localhost:9999/getCandidatesDecompressed,2114,0,2020
1666143204626,2129,HTTP Request,200,OK,500T getCandidates 1-4,text,true,,12111,225,108,108,http://localhost:9999/getCandidatesDecompressed,2129,0,2036
1666143204651,2130,HTTP Request,200,OK,500T getCandidates 1-6,text,true,,12111,225,108,108,http://localhost:9999/getCandidatesDecompressed,2130,0,2042
1666143204658,2127,HTTP Request,200,OK,500T getCandidates 1-5,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2127,0,2035
1666143204672,2116,HTTP Request,200,OK,500T getCandidates 1-7,text,true,,12111,225,106,106,http://localhost:9999/getCandidatesDecompressed,2116,0,2037
1666143204691,2132,HTTP Request,200,OK,500T getCandidates 1-8,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2132,0,2037
1666143204711,2141,HTTP Request,200,OK,500T getCandidates 1-9,text,true,,12111,225,108,108,http://localhost:9999/getCandidatesDecompressed,2141,0,2046
1666143204731,2124,HTTP Request,200,OK,500T getCandidates 1-10,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2124,0,2041
1666143204751,2119,HTTP Request,200,OK,500T getCandidates 1-11,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2119,0,2037
1666143204771,2123,HTTP Request,200,OK,500T getCandidates 1-12,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2123,0,2032
1666143204791,2135,HTTP Request,200,OK,500T getCandidates 1-13,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2135,0,2044
1666143204811,2123,HTTP Request,200,OK,500T getCandidates 1-14,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2123,0,2039
1666143204831,2116,HTTP Request,200,OK,500T getCandidates 1-15,text,true,,12111,225,106,106,http://localhost:9999/getCandidatesDecompressed,2116,0,2035
1666143204851,2120,HTTP Request,200,OK,500T getCandidates 1-16,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2120,0,2030
1666143204867,2135,HTTP Request,200,OK,500T getCandidates 1-17,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2135,0,2030
1666143204888,2126,HTTP Request,200,OK,500T getCandidates 1-18,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2126,0,2041
1666143204908,2122,HTTP Request,200,OK,500T getCandidates 1-19,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2122,0,2037
1666143204927,2114,HTTP Request,200,OK,500T getCandidates 1-20,text,true,,12111,225,106,106,http://localhost:9999/getCandidatesDecompressed,2114,0,2034
1666143204947,2129,HTTP Request,200,OK,500T getCandidates 1-21,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2129,0,2030
1666143204968,2123,HTTP Request,200,OK,500T getCandidates 1-22,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2123,0,2041
1666143204988,2116,HTTP Request,200,OK,500T getCandidates 1-23,text,true,,12111,225,106,106,http://localhost:9999/getCandidatesDecompressed,2116,0,2037
1666143205007,2115,HTTP Request,200,OK,500T getCandidates 1-24,text,true,,12111,225,106,106,http://localhost:9999/getCandidatesDecompressed,2115,0,2035
1666143205027,2124,HTTP Request,200,OK,500T getCandidates 1-25,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2124,0,2036
1666143205048,2124,HTTP Request,200,OK,500T getCandidates 1-26,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2124,0,2015
1666143205068,2124,HTTP Request,200,OK,500T getCandidates 1-27,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2124,0,2036
1666143205087,2123,HTTP Request,200,OK,500T getCandidates 1-28,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2123,0,2036
1666143205107,2127,HTTP Request,200,OK,500T getCandidates 1-29,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2127,0,2030
1666143205127,2129,HTTP Request,200,OK,500T getCandidates 1-30,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2129,0,2026
1666143205147,2127,HTTP Request,200,OK,500T getCandidates 1-31,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2127,0,2036
1666143205168,2122,HTTP Request,200,OK,500T getCandidates 1-32,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2122,0,2032
1666143205188,2121,HTTP Request,200,OK,500T getCandidates 1-33,text,true,,12111,225,107,107,http://localhost:9999/getCandidatesDecompressed,2121,0,2029
